City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,souillac,-20.5167,57.5167,25.21,73,40,5.66,MU,1670261867
306,los alamos,35.8881,-106.307,10.38,52,40,3.09,US,1670261867
307,chara,56.9064,118.2631,-19.87,76,99,2.3,RU,1670261867
308,gamba,-2.65,10.0,25.93,88,95,2.85,GA,1670261868
309,hasaki,35.7333,140.8333,5.22,86,100,10.08,JP,1670261868
310,rantoul,40.3084,-88.1559,4.46,74,100,4.63,US,1670261869
311,saldanha,-33.0117,17.9442,18.03,75,86,7.41,ZA,1670261869
312,krasnoselkup,65.7,82.4667,-3.28,93,100,7.1,RU,1670261726
313,hermiston,45.8404,-119.2895,-1.22,90,97,1.12,US,1670261809
314,furano,43.2818,142.4743,-12.97,95,70,1.37,JP,1670261870
315,komsomolskiy,40.4272,71.7189,-0.6,86,100,4.12,UZ,1670261655
316,mahebourg,-20.4081,57.7,25.16,73,40,5.66,MU,1670261651
317,touros,-5.1989,-35.4608,28.95,60,20,6.51,BR,1670261871
318,xingyi,24.1877,102.817,6.55,97,14,1.27,CN,1670261871
319,belmonte,-15.8631,-38.8828,25.77,69,100,3.52,BR,1670261872
320,nizwa,22.9333,57.5333,21.41,54,2,2.93,OM,1670261872
321,tuatapere,-46.1333,167.6833,8.51,96,100,2.39,NZ,1670261873
322,gizo,-8.103,156.8419,27.33,74,100,1.34,SB,1670261874
323,berezovka,53.7214,25.4993,-4.77,90,99,4.99,BY,1670261875
324,san vicente,-26.6167,-54.1333,29.44,45,50,0.7,AR,1670261875
325,srednekolymsk,67.45,153.6833,-43.27,100,64,0.62,RU,1670261875
326,isla mujeres,21.2311,-86.731,29.03,57,6,4.47,MX,1670261876
327,dothan,31.2232,-85.3905,22.61,70,100,0.45,US,1670261597
328,saint-joseph,-21.3667,55.6167,24.21,78,90,5.45,RE,1670261876
329,manggar,-2.8833,108.2667,25.94,84,100,1.55,ID,1670261877
330,khatima,28.9167,79.9667,14.65,66,0,1.63,IN,1670261877
331,qasigiannguit,68.8193,-51.1922,0.14,78,47,3.61,GL,1670261878
332,akdagmadeni,39.6603,35.8836,1.86,79,49,1.23,TR,1670261878
333,mount isa,-20.7333,139.5,18.87,55,0,0.0,AU,1670261675
334,lagoa,39.05,-27.9833,15.59,77,64,4.78,PT,1670261706
335,rincon,32.296,-81.2354,17.98,88,99,1.37,US,1670261879
336,chegdomyn,51.1167,133.0167,-19.59,90,100,2.18,RU,1670261880
337,belyy yar,53.6039,91.3903,-27.06,83,40,0.0,RU,1670261880
338,high level,58.5169,-117.136,-22.94,77,40,5.14,CA,1670261880
339,sabya,17.1495,42.6254,28.79,66,0,0.83,SA,1670261702
340,venado tuerto,-33.7456,-61.9688,40.38,9,0,6.45,AR,1670261881
341,thinadhoo,0.5333,72.9333,27.53,73,100,2.84,MV,1670261882
342,yaan,7.3833,8.5667,30.02,20,77,1.43,NG,1670261882
343,nortelandia,-14.4547,-56.8028,28.15,70,100,4.14,BR,1670261883
344,new glasgow,45.5834,-62.6486,3.21,41,10,2.29,CA,1670261862
345,sulangan,11.1373,123.7228,27.12,77,90,5.79,PH,1670261883
346,tornio,65.8481,24.1466,1.01,96,100,6.47,FI,1670261884
347,geraldton,-28.7667,114.6,20.23,77,100,5.66,AU,1670261884
348,pokosnoye,55.5258,101.0536,-12.69,87,100,8.28,RU,1670261885
349,wanning,18.8003,110.3967,19.18,87,99,4.88,CN,1670261885
350,cayenne,4.9333,-52.3333,30.02,70,85,4.63,GF,1670261748
351,san lorenzo,-25.3333,-57.5333,32.52,40,75,2.06,PY,1670261886
352,bibiani,6.4635,-2.3194,27.28,61,84,0.2,GH,1670261887
353,yulara,-25.2406,130.9889,27.79,15,58,3.53,AU,1670261887
354,kaka,37.3482,59.6143,-0.55,52,13,2.29,TM,1670261888
355,comodoro rivadavia,-45.8667,-67.5,24.92,25,95,10.8,AR,1670261824
356,shelburne,44.0787,-80.2041,4.25,58,99,7.57,CA,1670261888
357,lingao,19.9103,109.6859,17.07,84,100,4.1,CN,1670261889
358,chau doc,10.7,105.1167,24.8,89,98,0.78,VN,1670261889
359,margate,51.3813,1.3862,7.61,86,100,1.34,GB,1670261706
360,mehamn,71.0357,27.8492,-3.03,100,100,4.12,NO,1670261890
361,matara,5.9485,80.5353,24.35,88,100,0.76,LK,1670261890
362,komono,35.0,136.5167,10.45,81,100,1.88,JP,1670261891
363,kalmunai,7.4167,81.8167,24.57,89,100,3.14,LK,1670261697
364,lakatoro,-16.0999,167.4164,26.39,84,94,2.23,VU,1670261657
